"","fips","county","pctblack","hbcus","hbcuzip","pov"
"1",1005,"Barbour County",0.48043967787489,NA,NA,TRUE
"2",1011,"Bullock County",0.756346631036457,NA,NA,TRUE
"3",1013,"Butler County",0.448673357845573,NA,NA,TRUE
"4",1017,"Chambers County",0.393420858533707,NA,NA,FALSE
"5",1023,"Choctaw County",0.423339399454049,NA,NA,TRUE
"6",1025,"Clarke County",0.456690355329949,NA,NA,TRUE
"7",1035,"Conecuh County",0.464779824492055,NA,NA,TRUE
"8",1047,"Dallas County",0.703643724696356,NA,NA,TRUE
"9",1063,"Greene County",0.803117309269893,NA,NA,TRUE
"10",1087,"Macon County",0.82152081826635,NA,NA,TRUE
"11",1091,"Marengo County",0.541407080990731,NA,NA,TRUE
"12",1099,"Monroe County",0.415221890089676,NA,NA,TRUE
"13",1105,"Perry County",0.695764462809917,NA,NA,TRUE
"14",1109,"Pike County",0.379968155736474,NA,NA,TRUE
"15",1119,"Sumter County",0.708346071537756,NA,NA,TRUE
"16",1131,"Wilcox County",0.721128308453155,NA,NA,TRUE
"17",5017,"Chicot County",0.541696947674419,NA,NA,TRUE
"18",5039,"Dallas County",0.403427818061964,NA,NA,FALSE
"19",5041,"Desha County",0.474946254340996,NA,NA,TRUE
"20",5073,"Lafayette County",0.37895333995178,NA,NA,TRUE
"21",5077,"Lee County",0.569065945496151,NA,NA,TRUE
"22",5093,"Mississippi County",0.351311618505076,NA,NA,TRUE
"23",5095,"Monroe County",0.407816711590296,NA,NA,TRUE
"24",5103,"Ouachita County",0.409057346788088,NA,NA,TRUE
"25",5107,"Phillips County",0.627625781330054,NA,NA,TRUE
"26",5123,"St. Francis County",0.555530575539568,NA,NA,TRUE
"27",12047,"Hamilton County",0.350751510043545,NA,NA,TRUE
"28",12079,"Madison County",0.391132951722648,NA,NA,TRUE
"29",13009,"Baldwin County",0.414720934829881,NA,NA,FALSE
"30",13017,"Ben Hill County",0.362262621584067,NA,NA,TRUE
"31",13037,"Calhoun County",0.607258188528372,NA,NA,TRUE
"32",13061,"Clay County",0.642857142857143,NA,NA,TRUE
"33",13081,"Crisp County",0.431688763312323,NA,NA,TRUE
"34",13087,"Decatur County",0.421196758316989,NA,NA,TRUE
"35",13093,"Dooly County",0.497118053084751,NA,NA,TRUE
"36",13099,"Early County",0.509562710235464,NA,NA,TRUE
"37",13133,"Greene County",0.359132201769065,NA,NA,TRUE
"38",13141,"Hancock County",0.730125764393677,NA,NA,TRUE
"39",13163,"Jefferson County",0.543249341857841,NA,NA,TRUE
"40",13165,"Jenkins County",0.357598835255908,NA,NA,TRUE
"41",13175,"Laurens County",0.368590756780679,NA,NA,FALSE
"42",13193,"Macon County",0.593345521023766,NA,NA,TRUE
"43",13205,"Mitchell County",0.476388765836803,NA,NA,TRUE
"44",13239,"Quitman County",0.507476635514019,NA,NA,TRUE
"45",13243,"Randolph County",0.597418817651957,NA,NA,TRUE
"46",13251,"Screven County",0.417183158794614,NA,NA,TRUE
"47",13259,"Stewart County",0.502743484224966,NA,NA,TRUE
"48",13261,"Sumter County",0.524163326490045,NA,NA,TRUE
"49",13263,"Talbot County",0.565934921376304,NA,NA,TRUE
"50",13265,"Taliaferro County",0.61822125813449,NA,NA,TRUE
"51",13269,"Taylor County",0.404015967098101,NA,NA,TRUE
"52",13271,"Telfair County",0.429402044188751,NA,NA,TRUE
"53",13275,"Thomas County",0.358413680999354,NA,NA,FALSE
"54",13285,"Troup County",0.352454884564976,NA,NA,FALSE
"55",13287,"Turner County",0.429193628670981,NA,NA,TRUE
"56",13301,"Warren County",0.605914972273567,NA,NA,TRUE
"57",13303,"Washington County",0.530576416658539,NA,NA,TRUE
"58",13307,"Webster County",0.488389798248953,NA,NA,FALSE
"59",13309,"Wheeler County",0.42228370221328,NA,NA,TRUE
"60",13315,"Wilcox County",0.35476618705036,NA,NA,TRUE
"61",13317,"Wilkes County",0.424533064109036,NA,NA,FALSE
"62",13319,"Wilkinson County",0.381655187493167,NA,NA,FALSE
"63",22013,"Bienville Parish",0.414674779081559,NA,NA,TRUE
"64",22027,"Claiborne Parish",0.513009327442317,NA,NA,TRUE
"65",22029,"Concordia Parish",0.411162238385038,NA,NA,TRUE
"66",22035,"East Carroll Parish",0.715905985241869,NA,NA,TRUE
"67",22061,"Lincoln Parish",0.40647088522383,NA,NA,TRUE
"68",22065,"Madison Parish",0.634814049586777,NA,NA,TRUE
"69",22067,"Morehouse Parish",0.479497907949791,NA,NA,TRUE
"70",22069,"Natchitoches Parish",0.409080433279558,NA,NA,TRUE
"71",22081,"Red River Parish",0.374756391149834,NA,NA,TRUE
"72",22083,"Richland Parish",0.360589747320433,NA,NA,TRUE
"73",22097,"St. Landry Parish",0.41016989710457,NA,NA,TRUE
"74",22107,"Tensas Parish",0.554391112974219,NA,NA,TRUE
"75",28001,"Adams County",0.531868410220688,NA,NA,TRUE
"76",28005,"Amite County",0.419675520916176,NA,NA,TRUE
"77",28007,"Attala County",0.428540921467087,NA,NA,TRUE
"78",28011,"Bolivar County",0.642371909060717,NA,NA,TRUE
"79",28017,"Chickasaw County",0.432938457093326,NA,NA,TRUE
"80",28021,"Claiborne County",0.869207116187129,NA,NA,TRUE
"81",28023,"Clarke County",0.351171607930884,NA,NA,TRUE
"82",28025,"Clay County",0.590245122561281,NA,NA,TRUE
"83",28027,"Coahoma County",0.771978926572275,NA,NA,TRUE
"84",28031,"Covington County",0.360838723137909,NA,NA,TRUE
"85",28037,"Franklin County",0.359624292331446,NA,NA,TRUE
