"","FIPS","county","state","rural","south","black35","white90","X1990","X2000","X2010","X2017","pctblack","pctwhite"
"50",1099,"Monroe County","AL",TRUE,TRUE,TRUE,FALSE,23968,24324,23068,21745,0.415221890089676,0.550609335479421
"51",1101,"Montgomery County","AL",FALSE,TRUE,TRUE,FALSE,209085,223510,229363,227120,0.572719267347658,0.370438534695315
"52",1103,"Morgan County","AL",FALSE,TRUE,FALSE,FALSE,100043,111064,119490,119157,0.124121956746142,0.811937192107891
"53",1105,"Perry County","AL",TRUE,TRUE,TRUE,FALSE,12759,11861,10591,9680,0.695764462809917,0.297004132231405
"54",1107,"Pickens County","AL",FALSE,TRUE,TRUE,FALSE,20699,20949,19746,20170,0.405999008428359,0.560485870104115
"55",1109,"Pike County","AL",TRUE,TRUE,TRUE,FALSE,27595,29605,32899,33287,0.379968155736474,0.570643194039715
"56",1111,"Randolph County","AL",TRUE,TRUE,FALSE,FALSE,19881,22380,22913,22530,0.199733688415446,0.769684864624945
"57",1113,"Russell County","AL",FALSE,TRUE,TRUE,FALSE,46860,49756,52947,58480,0.426573187414501,0.505608755129959
"58",1115,"St. Clair County","AL",FALSE,TRUE,FALSE,FALSE,50009,64742,83593,86937,0.0934699840114106,0.874495324200283
"59",1117,"Shelby County","AL",FALSE,TRUE,FALSE,FALSE,99358,143293,195085,208721,0.118191269685369,0.807465468256668
"60",1119,"Sumter County","AL",TRUE,TRUE,TRUE,FALSE,16174,14798,13763,13084,0.708346071537756,0.247248547844696
"61",1121,"Talladega County","AL",TRUE,TRUE,FALSE,FALSE,74107,80321,82291,80888,0.32148155474236,0.642616951834636
"62",1123,"Tallapoosa County","AL",TRUE,TRUE,FALSE,FALSE,38826,41475,41616,40756,0.275198743743253,0.698179409166748
"63",1125,"Tuscaloosa County","AL",FALSE,TRUE,FALSE,FALSE,150522,164875,194656,204424,0.312903572965992,0.647091339568739
"64",1127,"Walker County","AL",FALSE,TRUE,FALSE,TRUE,67670,70713,67023,64927,0.0610377808923868,0.912147488718099
"65",1129,"Washington County","AL",TRUE,TRUE,FALSE,FALSE,16694,18097,17581,16746,0.24602890242446,0.655081810581631
"66",1131,"Wilcox County","AL",TRUE,TRUE,TRUE,FALSE,13568,13183,11670,10919,0.721128308453155,0.26898067588607
"67",1133,"Winston County","AL",TRUE,TRUE,FALSE,TRUE,22053,24843,24484,23968,0.005173564753004,0.965245327102804
"68",2013,"Aleutians East Borough","AK",TRUE,FALSE,FALSE,FALSE,2464,2697,3141,3338,0.0524266027561414,0.171959257040144
"69",2016,"Aleutians West Census Area","AK",TRUE,FALSE,FALSE,FALSE,9478,5465,5561,5784,0.0510027662517289,0.297890733056708
"70",2020,"Anchorage Municipality","AK",FALSE,FALSE,FALSE,FALSE,226338,260283,291826,298225,0.0547740799731746,0.63651940648839
"71",2050,"Bethel Census Area","AK",TRUE,FALSE,FALSE,FALSE,13656,16006,17013,17957,0.00668263072896364,0.109595143955004
"72",2060,"Bristol Bay Borough","AK",TRUE,FALSE,FALSE,FALSE,1410,1258,997,917,0.00436205016357688,0.520174482006543
"73",2068,"Denali Borough","AK",TRUE,FALSE,FALSE,FALSE,NA,1893,1826,2303,0.00173686495874946,0.830221450282241
"74",2070,"Dillingham Census Area","AK",TRUE,FALSE,FALSE,FALSE,4012,4922,4847,4974,0.00442299959790913,0.174507438681142
"75",2090,"Fairbanks North Star Borough","AK",FALSE,FALSE,FALSE,FALSE,77720,82840,97581,100031,0.042496825983945,0.761653887294939
"76",2100,"Haines Borough","AK",TRUE,FALSE,FALSE,FALSE,2117,2392,2508,2537,0.000394166338194718,0.801340165549862
"77",2105,"Hoonah-Angoon Census Area, AK","AK",TRUE,FALSE,FALSE,FALSE,NA,NA,2150,2146,0.0288909599254427,0.457595526561044
"78",2110,"Juneau City and Borough","AK",TRUE,FALSE,FALSE,FALSE,26751,30711,31275,32434,0.0105753221927607,0.689400012332737
"79",2122,"Kenai Peninsula Borough","AK",TRUE,FALSE,FALSE,FALSE,40802,49691,55400,57961,0.00536567692068805,0.836113938682908
"80",2130,"Ketchikan Gateway Borough","AK",TRUE,FALSE,FALSE,FALSE,13828,14070,13477,13745,0.00545652964714442,0.67180793015642
"81",2150,"Kodiak Island Borough","AK",TRUE,FALSE,FALSE,FALSE,13309,13913,13592,13773,0.0019603572206491,0.5374283017498
"82",2164,"Lake and Peninsula Borough","AK",TRUE,FALSE,FALSE,FALSE,1668,1823,1631,8129,0.00775003075409029,0.0401033337433879
"83",2170,"Matanuska-Susitna Borough","AK",FALSE,FALSE,FALSE,FALSE,39683,59322,88995,1301,0.00691775557263643,0.224442736356649
"84",2180,"Nome Census Area","AK",TRUE,FALSE,FALSE,FALSE,8288,9196,9492,101135,0.0112522865476838,0.831937509269788
"85",2185,"North Slope Borough","AK",TRUE,FALSE,FALSE,FALSE,5979,7385,9430,9869,0.00759955415948931,0.163745060289796
"86",2188,"Northwest Arctic Borough","AK",TRUE,FALSE,FALSE,FALSE,6113,7208,7523,9757,0.00655939325612381,0.319052987598647
