County ID,State / County Name,All Ages in Poverty Count,Median Household Income in Dollars
5000,Arkansas,"417,155","$20,729 "
5001,Arkansas County (AR),"3,892","$20,242 "
5003,Ashley County (AR),"4,821","$21,764 "
5005,Baxter County (AR),"3,777","$18,428 "
5007,Benton County (AR),"8,646","$24,715 "
5009,Boone County (AR),"4,058","$20,128 "
5011,Bradley County (AR),"2,620","$17,672 "
5013,Calhoun County (AR),"1,059","$19,056 "
5015,Carroll County (AR),"2,683","$18,128 "
5017,Chicot County (AR),"6,633","$13,229 "
5019,Clark County (AR),"3,862","$19,094 "
5021,Clay County (AR),"3,568","$16,719 "
5023,Cleburne County (AR),"2,968","$18,615 "
5025,Cleveland County (AR),"1,253","$20,244 "
5027,Columbia County (AR),"5,551","$19,854 "
5029,Conway County (AR),"3,507","$19,695 "
5031,Craighead County (AR),"9,916","$22,682 "
5033,Crawford County (AR),"6,357","$21,300 "
5035,Crittenden County (AR),"14,364","$18,787 "
5037,Cross County (AR),"4,391","$19,075 "
5039,Dallas County (AR),"1,766","$18,898 "
5041,Desha County (AR),"5,075","$16,801 "
5043,Drew County (AR),"3,112","$19,481 "
5045,Faulkner County (AR),"6,330","$23,952 "
5047,Franklin County (AR),"2,369","$19,594 "
5049,Fulton County (AR),"2,470","$15,066 "
5051,Garland County (AR),"11,767","$19,689 "
5053,Grant County (AR),"1,568","$25,298 "
5055,Greene County (AR),"5,031","$20,330 "
5057,Hempstead County (AR),"4,525","$17,728 "
5059,Hot Spring County (AR),"4,572","$19,678 "
5061,Howard County (AR),"2,035","$18,915 "
5063,Independence County (AR),"4,627","$20,862 "
5065,Izard County (AR),"2,180","$15,934 "
5067,Jackson County (AR),"4,534","$17,763 "
5069,Jefferson County (AR),"19,998","$20,779 "
5071,Johnson County (AR),"2,982","$17,943 "
5073,Lafayette County (AR),"3,015","$15,513 "
5075,Lawrence County (AR),"3,839","$16,719 "
5077,Lee County (AR),"6,646","$13,156 "
5079,Lincoln County (AR),"3,699","$17,946 "
5081,Little River County (AR),"2,465","$20,901 "
5083,Logan County (AR),"3,628","$18,093 "
5085,Lonoke County (AR),"5,231","$24,291 "
5087,Madison County (AR),"2,058","$17,467 "
5089,Marion County (AR),"2,192","$16,318 "
5091,Miller County (AR),"7,546","$20,942 "
5093,Mississippi County (AR),"14,329","$18,665 "
5095,Monroe County (AR),"3,945","$14,847 "
5097,Montgomery County (AR),"1,976","$15,701 "
5099,Nevada County (AR),"2,000","$17,553 "
5101,Newton County (AR),"2,092","$14,500 "
5103,Ouachita County (AR),"5,515","$20,779 "
5105,Perry County (AR),"1,292","$18,913 "
5107,Phillips County (AR),"13,442","$13,638 "
5109,Pike County (AR),"1,762","$17,832 "
5111,Poinsett County (AR),"5,845","$17,666 "
5113,Polk County (AR),"3,700","$15,884 "
5115,Pope County (AR),"6,602","$22,707 "
5117,Prairie County (AR),"1,805","$18,802 "
5119,Pulaski County (AR),"50,469","$26,239 "
5121,Randolph County (AR),"3,090","$17,681 "
5123,St. Francis County (AR),"10,678","$15,030 "
5125,Saline County (AR),"5,444","$28,232 "
5127,Scott County (AR),"2,107","$16,626 "
5129,Searcy County (AR),"2,201","$12,232 "
5131,Sebastian County (AR),"11,983","$24,055 "
5133,Sevier County (AR),"2,340","$18,894 "
5135,Sharp County (AR),"2,881","$15,287 "
5137,Stone County (AR),"2,546","$13,189 "
5139,Union County (AR),"8,296","$21,262 "
5141,Van Buren County (AR),"3,012","$16,998 "
5143,Washington County (AR),"13,643","$23,588 "
5145,White County (AR),"8,990","$19,826 "
5147,Woodruff County (AR),"3,102","$15,171 "
5149,Yell County (AR),"2,882","$18,151 "
6000,California,"3,749,256","$33,474 "
6001,Alameda County (CA),"134,231","$34,732 "
6003,Alpine County (CA),173,"$25,097 "
6005,Amador County (CA),"2,029","$27,592 "
6007,Butte County (CA),"29,531","$22,122 "
6009,Calaveras County (CA),"3,015","$27,056 "
6011,Colusa County (CA),"2,264","$23,690 "
6013,Contra Costa County (CA),"55,231","$41,955 "
6015,Del Norte County (CA),"3,630","$21,898 "
6017,El Dorado County (CA),"8,935","$32,954 "
6019,Fresno County (CA),"142,819","$25,075 "
6021,Glenn County (CA),"3,801","$21,847 "
6023,Humboldt County (CA),"18,354","$23,408 "
6025,Imperial County (CA),"25,950","$18,558 "
6027,Inyo County (CA),"1,794","$25,519 "
6029,Kern County (CA),"83,842","$26,614 "
6031,Kings County (CA),"16,758","$23,883 "
6033,Lake County (CA),"7,665","$20,145 "
6035,Lassen County (CA),"2,957","$26,252 "
6037,Los Angeles County (CA),"1,469,913","$31,123 "
6039,Madera County (CA),"14,862","$23,150 "
6041,Marin County (CA),"12,319","$47,104 "
6043,Mariposa County (CA),"1,665","$22,238 "
6045,Mendocino County (CA),"11,088","$24,307 "
6047,Merced County (CA),"34,065","$25,032 "
6049,Modoc County (CA),"1,550","$21,788 "
6051,Mono County (CA),755,"$29,104 "
6053,Monterey County (CA),"41,888","$29,417 "
6055,Napa County (CA),"8,312","$34,186 "
6057,Nevada County (CA),"5,989","$29,021 "
6059,Orange County (CA),"197,316","$39,592 "
6061,Placer County (CA),"11,733","$35,182 "
6063,Plumas County (CA),"1,918","$25,551 "
6065,Riverside County (CA),"125,328","$30,192 "
6067,Sacramento County (CA),"120,393","$30,024 "
6069,San Benito County (CA),"4,145","$30,569 "
6071,San Bernardino County (CA),"161,823","$30,550 "
6073,San Diego County (CA),"269,720","$31,627 "
6075,San Francisco County (CA),"93,714","$30,166 "
6077,San Joaquin County (CA),"75,536","$28,001 "
6079,San Luis Obispo County (CA),"20,983","$27,756 "
6081,San Mateo County (CA),"31,707","$43,417 "
6083,Santa Barbara County (CA),"37,106","$32,500 "
6085,Santa Clara County (CA),"110,635","$44,316 "
6087,Santa Cruz County (CA),"24,990","$30,892 "
6089,Shasta County (CA),"19,882","$24,335 "
6091,Sierra County (CA),297,"$25,954 "
6093,Siskiyou County (CA),"6,274","$22,077 "
6095,Solano County (CA),"25,111","$35,576 "
6097,Sonoma County (CA),"31,506","$32,477 "
6099,Stanislaus County (CA),"50,731","$27,207 "
6101,Sutter County (CA),"8,420","$25,920 "
6103,Tehama County (CA),"7,388","$21,236 "
6105,Trinity County (CA),"1,724","$22,865 "
6107,Tulare County (CA),"75,307","$21,571 "
6109,Tuolumne County (CA),"4,734","$25,463 "
6111,Ventura County (CA),"56,348","$39,555 "
6113,Yolo County (CA),"17,787","$27,781 "
6115,Yuba County (CA),"11,315","$20,122 "
8000,Colorado,"381,825","$28,368 "
8001,Adams County (CO),"30,081","$29,351 "
8003,Alamosa County (CO),"3,251","$20,658 "
8005,Arapahoe County (CO),"21,937","$38,768 "
8007,Archuleta County (CO),"1,020","$19,839 "
8009,Baca County (CO),935,"$19,605 "
8011,Bent County (CO),998,"$20,995 "
8013,Boulder County (CO),"19,532","$34,200 "
8015,Chaffee County (CO),"1,585","$21,482 "
8017,Cheyenne County (CO),294,"$25,969 "
8019,Clear Creek County (CO),720,"$29,498 "
8021,Conejos County (CO),"2,731","$14,560 "
8023,Costilla County (CO),"1,285","$11,376 "
8025,Crowley County (CO),976,"$17,246 "
8027,Custer County (CO),333,"$20,803 "
8029,Delta County (CO),"4,123","$18,217 "
8031,Denver County (CO),"87,572","$24,845 "
8033,Dolores County (CO),251,"$21,290 "
8035,Douglas County (CO),"1,505","$51,202 "
8037,Eagle County (CO),"1,124","$33,000 "
8039,Elbert County (CO),637,"$34,785 "
8041,El Paso County (CO),"43,946","$28,225 "
8043,Fremont County (CO),"5,319","$20,375 "
8045,Garfield County (CO),"2,452","$28,277 "
8047,Gilpin County (CO),247,"$33,126 "
8049,Grand County (CO),550,"$27,424 "
8051,Gunnison County (CO),"1,420","$23,661 "
8053,Hinsdale County (CO),40,"$23,826 "
8055,Huerfano County (CO),"1,695","$15,666 "
8057,Jackson County (CO),299,"$24,168 "
8059,Jefferson County (CO),"22,964","$37,713 "
8061,Kiowa County (CO),171,"$30,465 "
8063,Kit Carson County (CO),"1,026","$27,016 "
8065,Lake County (CO),460,"$23,208 "
8067,La Plata County (CO),"4,187","$24,765 "
8069,Larimer County (CO),"18,660","$30,245 "
8071,Las Animas County (CO),"3,726","$17,148 "
8073,Lincoln County (CO),688,"$22,360 "
8075,Logan County (CO),"2,324","$24,798 "
8077,Mesa County (CO),"13,069","$23,726 "
8079,Mineral County (CO),76,"$19,748 "
8081,Moffat County (CO),923,"$34,116 "
8083,Montezuma County (CO),"3,544","$21,359 "
8085,Montrose County (CO),"3,312","$23,496 "
8087,Morgan County (CO),"3,609","$24,728 "
8089,Otero County (CO),"5,359","$18,751 "
8091,Ouray County (CO),200,"$25,252 "
8093,Park County (CO),511,"$32,912 "
8095,Phillips County (CO),456,"$25,066 "
8097,Pitkin County (CO),498,"$34,160 "
8099,Prowers County (CO),"2,847","$22,047 "
8101,Pueblo County (CO),"24,777","$20,906 "
8103,Rio Blanco County (CO),405,"$27,051 "
8105,Rio Grande County (CO),"2,398","$22,032 "
8107,Routt County (CO),994,"$29,187 "
8109,Saguache County (CO),"1,366","$16,021 "
8111,San Juan County (CO),61,"$29,783 "
8113,San Miguel County (CO),379,"$24,928 "
8115,Sedgwick County (CO),337,"$23,708 "
8117,Summit County (CO),695,"$31,917 "
8119,Teller County (CO),"1,231","$31,329 "
8121,Washington County (CO),686,"$24,478 "
8123,Weld County (CO),"21,775","$25,909 "
8125,Yuma County (CO),"1,255","$24,240 "
9000,Connecticut,"227,293","$39,548 "
9001,Fairfield County (CT),"54,461","$45,517 "
9003,Hartford County (CT),"64,344","$37,855 "
9005,Litchfield County (CT),"7,414","$39,231 "
9007,Middlesex County (CT),"6,542","$41,596 "
9009,New Haven County (CT),"63,918","$36,601 "
9011,New London County (CT),"17,219","$36,422 "
9013,Tolland County (CT),"5,062","$43,520 "
9015,Windham County (CT),"8,332","$32,042 "
10000,Delaware,"61,417","$31,606 "
10001,Kent County (DE),"12,299","$27,452 "
10003,New Castle County (DE),"35,880","$34,383 "
10005,Sussex County (DE),"13,238","$24,774 "
11000,District of Columbia,"86,780","$29,322 "
11001,District of Columbia (DC),"86,780","$29,322 "
12000,Florida,"1,655,523","$26,589 "
12001,Alachua County (FL),"31,212","$23,673 "
12003,Baker County (FL),"2,497","$25,409 "
12005,Bay County (FL),"18,173","$23,194 "
12007,Bradford County (FL),"4,259","$21,097 "
12009,Brevard County (FL),"33,833","$29,229 "
12011,Broward County (FL),"115,581","$27,615 "
12013,Calhoun County (FL),"2,522","$17,648 "
12015,Charlotte County (FL),"7,397","$22,546 "
12017,Citrus County (FL),"11,540","$18,192 "
12019,Clay County (FL),"6,098","$33,668 "
12021,Collier County (FL),"14,891","$30,883 "
12023,Columbia County (FL),"7,363","$21,685 "
12025,Dade County (FL),"413,489","$23,349 "
12027,DeSoto County (FL),"4,453","$18,157 "
12029,Dixie County (FL),"2,567","$14,637 "
12031,Duval County (FL),"89,414","$26,139 "
12033,Escambia County (FL),"44,698","$23,493 "
12035,Flagler County (FL),"2,449","$23,618 "
12037,Franklin County (FL),"2,113","$15,260 "
12039,Gadsden County (FL),"11,839","$17,056 "
12041,Gilchrist County (FL),"1,374","$19,150 "
12043,Glades County (FL),"1,239","$18,259 "
12045,Gulf County (FL),"1,963","$21,414 "
12047,Hamilton County (FL),"2,246","$18,439 "
12049,Hardee County (FL),"4,722","$19,064 "
12051,Hendry County (FL),"4,960","$22,470 "
12053,Hernando County (FL),"10,859","$19,843 "
12055,Highlands County (FL),"9,617","$18,854 "
12057,Hillsborough County (FL),"109,958","$27,575 "
12059,Holmes County (FL),"3,863","$16,538 "
12061,Indian River County (FL),"7,600","$26,974 "
12063,Jackson County (FL),"7,809","$19,014 "
12065,Jefferson County (FL),"2,560","$17,433 "
12067,Lafayette County (FL),"1,017","$18,709 "
12069,Lake County (FL),"18,911","$20,682 "
12071,Lee County (FL),"30,140","$26,005 "
12073,Leon County (FL),"23,523","$27,391 "
12075,Levy County (FL),"4,999","$17,162 "
12077,Liberty County (FL),802,"$18,637 "
12079,Madison County (FL),"4,008","$17,213 "
12081,Manatee County (FL),"20,512","$23,842 "
12083,Marion County (FL),"29,088","$20,060 "
12085,Martin County (FL),"7,043","$30,281 "
12087,Monroe County (FL),"8,013","$25,610 "
12089,Nassau County (FL),"4,048","$30,161 "
12091,Okaloosa County (FL),"12,262","$27,022 "
12093,Okeechobee County (FL),"5,035","$19,400 "
12095,Orange County (FL),"71,838","$27,647 "
12097,Osceola County (FL),"9,005","$23,798 "
12099,Palm Beach County (FL),"73,963","$30,426 "
12101,Pasco County (FL),"32,879","$18,451 "
12103,Pinellas County (FL),"87,463","$24,577 "
12105,Polk County (FL),"58,488","$22,028 "
12107,Putnam County (FL),"13,038","$18,783 "
12109,St. Johns County (FL),"8,426","$27,106 "
12111,St. Lucie County (FL),"19,683","$22,591 "
12113,Santa Rosa County (FL),"9,378","$26,352 "
12115,Sarasota County (FL),"18,994","$27,947 "
12117,Seminole County (FL),"20,107","$33,906 "
12119,Sumter County (FL),"5,977","$17,208 "
12121,Suwannee County (FL),"4,893","$19,118 "
12123,Taylor County (FL),"3,059","$20,775 "
12125,Union County (FL),"1,323","$21,920 "
12127,Volusia County (FL),"41,195","$21,949 "
12129,Wakulla County (FL),"2,312","$22,011 "
12131,Walton County (FL),"5,207","$18,251 "
12133,Washington County (FL),"3,733","$17,190 "
13000,Georgia,"951,260","$27,317 "
13001,Appling County (GA),"3,542","$19,475 "
13003,Atkinson County (GA),"1,557","$15,724 "
13005,Bacon County (GA),"2,183","$19,142 "
13007,Baker County (GA),"1,061","$17,242 "
13009,Baldwin County (GA),"5,528","$25,510 "
13011,Banks County (GA),"1,196","$24,643 "
13013,Barrow County (GA),"3,766","$25,288 "
13015,Bartow County (GA),"5,812","$26,312 "
13017,Ben Hill County (GA),"4,034","$18,276 "
13019,Berrien County (GA),"2,476","$21,597 "
13021,Bibb County (GA),"29,971","$25,474 "
13023,Bleckley County (GA),"1,528","$24,248 "
13025,Brantley County (GA),"2,050","$21,869 "
13027,Brooks County (GA),"5,124","$15,345 "
13029,Bryan County (GA),"2,013","$27,383 "
13031,Bulloch County (GA),"8,642","$23,420 "
13033,Burke County (GA),"6,426","$16,559 "
13035,Butts County (GA),"2,331","$22,099 "
13037,Calhoun County (GA),"1,440","$15,302 "
13039,Camden County (GA),"2,843","$26,604 "
13043,Candler County (GA),"1,854","$17,839 "
13045,Carroll County (GA),"9,413","$24,327 "
13047,Catoosa County (GA),"4,716","$27,403 "
13049,Charlton County (GA),"1,745","$19,649 "
13051,Chatham County (GA),"40,295","$25,154 "
13053,Chattahoochee County (GA),"1,106","$24,067 "
13055,Chattooga County (GA),"3,367","$21,349 "
13057,Cherokee County (GA),"5,657","$37,832 "
13059,Clarke County (GA),"15,800","$22,936 "
13061,Clay County (GA),"1,331","$11,858 "
13063,Clayton County (GA),"15,831","$31,941 "
13065,Clinch County (GA),"1,610","$18,346 "
13067,Cobb County (GA),"22,932","$41,423 "
13069,Coffee County (GA),"6,738","$19,360 "
