County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
0,United States,"301,535,021","46,215,956","$50,046 "
1000,Alabama,"4,667,040","883,078","$40,538 "
1001,Autauga County (AL),"54,145","6,459","$53,049 "
1003,Baldwin County (AL),"180,560","24,056","$47,618 "
1005,Barbour County (AL),"24,146","6,098","$33,074 "
1007,Bibb County (AL),"20,620","4,316","$35,472 "
1009,Blount County (AL),"56,783","9,358","$42,906 "
1011,Bullock County (AL),"9,216","2,866","$25,969 "
1013,Butler County (AL),"20,597","5,791","$29,500 "
1015,Calhoun County (AL),"115,503","27,152","$37,916 "
1017,Chambers County (AL),"33,689","9,618","$30,061 "
1019,Cherokee County (AL),"25,652","5,434","$34,410 "
1021,Chilton County (AL),"43,215","8,813","$38,553 "
1023,Choctaw County (AL),"13,668","2,826","$32,003 "
1025,Clarke County (AL),"25,466","6,332","$33,739 "
1027,Clay County (AL),"13,615","2,802","$33,035 "
1029,Cleburne County (AL),"14,763","2,621","$37,566 "
1031,Coffee County (AL),"49,392","9,939","$40,779 "
1033,Colbert County (AL),"53,848","10,329","$37,455 "
1035,Conecuh County (AL),"13,119","3,378","$27,855 "
1037,Coosa County (AL),"11,409","2,125","$33,721 "
1039,Covington County (AL),"37,180","7,769","$33,484 "
1041,Crenshaw County (AL),"13,683","2,783","$35,577 "
1043,Cullman County (AL),"79,261","15,242","$37,948 "
1045,Dale County (AL),"49,320","8,795","$41,287 "
1047,Dallas County (AL),"43,293","15,391","$26,195 "
1049,DeKalb County (AL),"70,257","14,586","$34,822 "
1051,Elmore County (AL),"74,001","9,276","$51,013 "
1053,Escambia County (AL),"35,008","9,135","$31,365 "
1055,Etowah County (AL),"102,336","19,457","$36,088 "
1057,Fayette County (AL),"16,958","4,635","$32,643 "
1059,Franklin County (AL),"31,369","6,787","$33,649 "
1061,Geneva County (AL),"26,519","5,380","$34,418 "
1063,Greene County (AL),"8,934","2,771","$27,117 "
1065,Hale County (AL),"15,365","3,806","$31,790 "
1067,Henry County (AL),"17,065","3,091","$37,851 "
1069,Houston County (AL),"100,410","18,014","$39,290 "
1071,Jackson County (AL),"52,516","10,429","$36,158 "
1073,Jefferson County (AL),"644,038","119,809","$41,740 "
1075,Lamar County (AL),"14,281","3,068","$32,993 "
1077,Lauderdale County (AL),"90,753","15,992","$39,213 "
1079,Lawrence County (AL),"34,019","6,166","$37,365 "
1081,Lee County (AL),"136,246","28,964","$40,102 "
1083,Limestone County (AL),"80,086","11,284","$49,667 "
1085,Lowndes County (AL),"11,154","3,419","$28,754 "
1087,Macon County (AL),"19,736","6,160","$27,041 "
1089,Madison County (AL),"327,812","41,676","$54,633 "
1091,Marengo County (AL),"20,702","4,883","$33,085 "
1093,Marion County (AL),"29,855","6,240","$32,080 "
1095,Marshall County (AL),"91,865","17,797","$38,859 "
1097,Mobile County (AL),"406,757","83,457","$39,753 "
1099,Monroe County (AL),"22,726","6,443","$31,744 "
1101,Montgomery County (AL),"220,550","46,972","$41,556 "
1103,Morgan County (AL),"117,421","16,562","$44,859 "
1105,Perry County (AL),"9,816","3,874","$24,742 "
1107,Pickens County (AL),"19,327","4,723","$31,032 "
1109,Pike County (AL),"30,973","9,304","$32,771 "
1111,Randolph County (AL),"22,450","5,559","$32,584 "
1113,Russell County (AL),"52,522","12,654","$32,733 "
1115,St. Clair County (AL),"81,588","10,578","$48,296 "
1117,Shelby County (AL),"192,978","18,948","$67,135 "
1119,Sumter County (AL),"13,037","4,080","$25,586 "
