County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
2240,Southeast Fairbanks Census Area (AK),"6,816",872,"$59,382 "
2261,Valdez-Cordova Census Area (AK),"9,163",845,"$86,196 "
2275,Wrangell City and Borough (AK),"2,494",310,"$55,696 "
2282,Yakutat Borough (AK),603,92,"$59,955 "
2290,Yukon-Koyukuk Census Area (AK),"5,325","1,237","$37,907 "
4000,Arizona,"6,856,072","1,023,337","$56,508 "
4001,Apache County (AZ),"70,669","23,426","$33,053 "
4003,Cochise County (AZ),"119,740","19,219","$48,966 "
4005,Coconino County (AZ),"130,051","23,946","$54,399 "
4007,Gila County (AZ),"52,446","12,661","$38,897 "
4009,Graham County (AZ),"34,517","7,213","$46,378 "
4011,Greenlee County (AZ),"9,349",948,"$63,557 "
4012,La Paz County (AZ),"20,362","4,263","$36,389 "
4013,Maricopa County (AZ),"4,239,908","570,402","$62,221 "
4015,Mohave County (AZ),"201,993","34,891","$42,210 "
4017,Navajo County (AZ),"106,760","28,216","$40,883 "
4019,Pima County (AZ),"998,103","165,811","$51,392 "
4021,Pinal County (AZ),"403,619","52,566","$53,114 "
4023,Santa Cruz County (AZ),"45,956","10,858","$39,265 "
4025,Yavapai County (AZ),"224,110","31,166","$49,860 "
4027,Yuma County (AZ),"198,487","37,751","$46,013 "
5000,Arkansas,"2,916,343","475,883","$45,916 "
5001,Arkansas County (AR),"17,682","3,515","$43,752 "
5003,Ashley County (AR),"20,069","3,980","$40,495 "
5005,Baxter County (AR),"40,787","5,650","$43,011 "
5007,Benton County (AR),"263,640","24,110","$64,728 "
5009,Boone County (AR),"36,899","5,495","$41,770 "
5011,Bradley County (AR),"10,703","2,237","$35,950 "
5013,Calhoun County (AR),"5,064",772,"$42,484 "
5015,Carroll County (AR),"27,616","4,523","$38,297 "
5017,Chicot County (AR),"9,869","2,974","$31,810 "
5019,Clark County (AR),"19,361","4,142","$40,536 "
5021,Clay County (AR),"14,737","2,673","$35,164 "
5023,Cleburne County (AR),"24,642","3,852","$43,170 "
5025,Cleveland County (AR),"8,139","1,167","$47,812 "
5027,Columbia County (AR),"21,646","5,512","$38,488 "
5029,Conway County (AR),"20,624","3,543","$43,519 "
5031,Craighead County (AR),"103,307","15,354","$49,355 "
5033,Crawford County (AR),"62,285","10,896","$44,850 "
5035,Crittenden County (AR),"47,789","10,070","$39,272 "
5037,Cross County (AR),"16,558","3,047","$41,661 "
5039,Dallas County (AR),"6,976","1,464","$33,739 "
5041,Desha County (AR),"11,677","3,388","$33,228 "
5043,Drew County (AR),"17,520","3,553","$41,339 "
5045,Faulkner County (AR),"119,041","15,941","$51,535 "
5047,Franklin County (AR),"17,599","3,165","$41,140 "
5049,Fulton County (AR),"11,857","2,442","$35,723 "
5051,Garland County (AR),"96,935","15,384","$44,662 "
5053,Grant County (AR),"17,970","2,185","$54,819 "
5055,Greene County (AR),"44,363","6,559","$46,029 "
5057,Hempstead County (AR),"21,556","5,208","$39,505 "
5059,Hot Spring County (AR),"31,186","5,225","$42,329 "
5061,Howard County (AR),"13,258","2,535","$36,744 "
5063,Independence County (AR),"36,396","5,799","$42,332 "
5065,Izard County (AR),"12,660","2,444","$37,958 "
5067,Jackson County (AR),"14,839","3,292","$36,235 "
5069,Jefferson County (AR),"63,662","14,957","$38,677 "
5071,Johnson County (AR),"25,868","4,758","$39,798 "
5073,Lafayette County (AR),"6,725","1,622","$33,378 "
5075,Lawrence County (AR),"15,858","2,682","$40,777 "
5077,Lee County (AR),"7,394","2,760","$28,875 "
5079,Lincoln County (AR),"9,821","2,302","$43,821 "
5081,Little River County (AR),"12,205","2,076","$42,063 "
5083,Logan County (AR),"21,222","4,340","$37,676 "
5085,Lonoke County (AR),"72,130","8,011","$54,378 "
5087,Madison County (AR),"16,198","2,755","$40,568 "
5089,Marion County (AR),"16,233","2,965","$39,539 "
5091,Miller County (AR),"42,588","8,005","$44,325 "
5093,Mississippi County (AR),"41,187","10,018","$39,678 "
5095,Monroe County (AR),"6,983","1,906","$32,427 "
5097,Montgomery County (AR),"8,779","1,856","$35,500 "
5099,Nevada County (AR),"8,160","1,594","$46,687 "
5101,Newton County (AR),"7,745","1,534","$34,036 "
5103,Ouachita County (AR),"23,444","4,665","$39,576 "
5105,Perry County (AR),"10,233","1,549","$44,118 "
5107,Phillips County (AR),"18,334","7,288","$27,663 "
5109,Pike County (AR),"10,493","1,940","$37,493 "
5111,Poinsett County (AR),"23,761","5,000","$39,778 "
5113,Polk County (AR),"19,904","4,645","$35,678 "
5115,Pope County (AR),"59,965","10,036","$45,803 "
5117,Prairie County (AR),"8,103","1,306","$43,139 "
5119,Pulaski County (AR),"385,180","57,780","$52,361 "
5121,Randolph County (AR),"17,159","3,331","$35,989 "
5123,St. Francis County (AR),"21,810","7,357","$31,561 "
5125,Saline County (AR),"117,921","9,335","$61,384 "
5127,Scott County (AR),"10,302","2,123","$33,354 "
5129,Searcy County (AR),"7,843","1,695","$30,640 "
5131,Sebastian County (AR),"125,871","23,469","$44,058 "
5133,Sevier County (AR),"16,883","3,286","$41,649 "
5135,Sharp County (AR),"17,155","4,098","$34,266 "
5137,Stone County (AR),"12,362","2,617","$32,778 "
5139,Union County (AR),"38,902","6,801","$43,827 "
5141,Van Buren County (AR),"16,254","3,214","$36,244 "
5143,Washington County (AR),"223,514","30,938","$50,400 "
5145,White County (AR),"75,347","11,477","$44,088 "
5147,Woodruff County (AR),"6,449","1,726","$32,271 "
5149,Yell County (AR),"21,142","3,969","$40,325 "
6000,California,"38,793,030","5,164,169","$71,785 "
6001,Alameda County (CA),"1,634,436","152,087","$95,550 "
6003,Alpine County (CA),"1,117",202,"$55,755 "
6005,Amador County (CA),"34,669","3,762","$60,588 "
6007,Butte County (CA),"224,526","40,728","$48,634 "
6009,Calaveras County (CA),"45,139","5,904","$58,536 "
6011,Colusa County (CA),"21,544","2,633","$53,595 "
6013,Contra Costa County (CA),"1,138,266","103,883","$95,062 "
6015,Del Norte County (CA),"24,845","6,113","$39,996 "
6017,El Dorado County (CA),"187,695","15,620","$78,464 "
6019,Fresno County (CA),"972,367","205,046","$51,452 "
6021,Glenn County (CA),"27,743","4,111","$49,979 "
6023,Humboldt County (CA),"133,150","26,262","$46,123 "
6025,Imperial County (CA),"173,506","35,830","$43,413 "
6027,Inyo County (CA),"17,696","2,087","$53,528 "
6029,Kern County (CA),"861,002","182,948","$49,904 "
6031,Kings County (CA),"134,707","24,810","$55,076 "
6033,Lake County (CA),"63,300","12,817","$45,797 "
6035,Lassen County (CA),"23,317","3,790","$58,776 "
6037,Los Angeles County (CA),"10,007,071","1,490,853","$64,912 "
6039,Madera County (CA),"148,973","31,569","$50,783 "
6041,Marin County (CA),"254,370","20,222","$112,735 "
6043,Mariposa County (CA),"17,368","2,641","$52,387 "
6045,Mendocino County (CA),"86,741","14,156","$50,453 "
6047,Merced County (CA),"266,552","61,297","$48,036 "
6049,Modoc County (CA),"8,637","1,658","$40,970 "
6051,Mono County (CA),"14,066","1,313","$60,318 "
6053,Monterey County (CA),"419,435","49,860","$70,294 "
6055,Napa County (CA),"136,679","9,301","$83,881 "
6057,Nevada County (CA),"98,883","10,889","$64,901 "
6059,Orange County (CA),"3,148,278","362,109","$86,031 "
6061,Placer County (CA),"383,174","29,873","$81,366 "
6063,Plumas County (CA),"18,419","2,640","$51,756 "
6065,Riverside County (CA),"2,388,862","309,235","$63,776 "
6067,Sacramento County (CA),"1,511,229","213,232","$62,959 "
6069,San Benito County (CA),"60,015","5,029","$77,200 "
6071,San Bernardino County (CA),"2,118,139","339,748","$60,270 "
6073,San Diego County (CA),"3,243,699","385,479","$76,048 "
6075,San Francisco County (CA),"868,690","87,314","$109,601 "
6077,San Joaquin County (CA),"731,380","113,375","$60,950 "
6079,San Luis Obispo County (CA),"268,401","31,826","$70,634 "
6081,San Mateo County (CA),"765,157","48,795","$115,908 "
6083,Santa Barbara County (CA),"429,288","60,921","$70,651 "
6085,Santa Clara County (CA),"1,911,659","142,603","$118,468 "
6087,Santa Cruz County (CA),"264,046","33,262","$76,633 "
6089,Shasta County (CA),"177,161","30,155","$51,207 "
6091,Sierra County (CA),"2,956",404,"$49,495 "
6093,Siskiyou County (CA),"43,305","7,679","$44,013 "
6095,Solano County (CA),"433,708","43,352","$75,931 "
6097,Sonoma County (CA),"495,804","46,165","$79,511 "
6099,Stanislaus County (CA),"542,014","75,614","$58,925 "
6101,Sutter County (CA),"95,866","12,628","$54,102 "
6103,Tehama County (CA),"63,125","12,718","$41,819 "
6105,Trinity County (CA),"12,471","2,529","$40,676 "
6107,Tulare County (CA),"459,688","110,299","$46,377 "
6109,Tuolumne County (CA),"50,889","6,205","$58,776 "
6111,Ventura County (CA),"842,392","80,217","$82,436 "
6113,Yolo County (CA),"209,714","36,761","$64,900 "
6115,Yuba County (CA),"75,699","11,609","$53,822 "
8000,Colorado,"5,483,100","566,118","$69,113 "
8001,Adams County (CO),"497,506","52,536","$65,977 "
8003,Alamosa County (CO),"15,289","3,251","$43,121 "
8005,Arapahoe County (CO),"637,040","49,795","$75,196 "
8007,Archuleta County (CO),"13,186","1,549","$52,481 "
8009,Baca County (CO),"3,468",684,"$35,725 "
8011,Bent County (CO),"4,011","1,285","$37,307 "
8013,Boulder County (CO),"311,396","39,084","$80,701 "
8014,Broomfield County (CO),"67,896","3,092","$91,968 "
8015,Chaffee County (CO),"18,157","2,073","$53,545 "
8017,Cheyenne County (CO),"1,792",244,"$50,571 "
8019,Clear Creek County (CO),"9,474",735,"$71,850 "
8021,Conejos County (CO),"8,140","1,727","$36,852 "
8023,Costilla County (CO),"3,769","1,028","$30,486 "
8025,Crowley County (CO),"2,955","1,400","$38,112 "
8027,Custer County (CO),"4,713",621,"$54,080 "
8029,Delta County (CO),"29,805","4,982","$43,528 "
8031,Denver County (CO),"690,382","86,353","$64,974 "
8033,Dolores County (CO),"2,062",263,"$44,882 "
8035,Douglas County (CO),"334,062","10,574","$112,386 "
8037,Eagle County (CO),"54,500","4,079","$88,913 "
8039,Elbert County (CO),"25,486","1,257","$102,731 "
8041,El Paso County (CO),"679,038","73,008","$65,260 "
8043,Fremont County (CO),"38,973","6,467","$48,820 "
8045,Garfield County (CO),"58,121","4,429","$71,897 "
8047,Gilpin County (CO),"5,962",413,"$79,636 "
8049,Grand County (CO),"15,245","1,332","$61,241 "
8051,Gunnison County (CO),"15,888","2,349","$53,480 "
8053,Hinsdale County (CO),777,67,"$59,157 "
8055,Huerfano County (CO),"6,501","1,352","$37,424 "
8057,Jackson County (CO),"1,383",189,"$48,785 "
8059,Jefferson County (CO),"565,543","42,729","$80,562 "
8061,Kiowa County (CO),"1,358",190,"$43,845 "
8063,Kit Carson County (CO),"7,104",823,"$44,028 "
8065,Lake County (CO),"7,626",933,"$49,799 "
8067,La Plata County (CO),"53,682","4,961","$61,974 "
8069,Larimer County (CO),"334,962","36,954","$69,443 "
8071,Las Animas County (CO),"13,413","3,180","$39,552 "
8073,Lincoln County (CO),"4,567",806,"$45,308 "
8075,Logan County (CO),"18,563","2,932","$50,246 "
8077,Mesa County (CO),"147,023","21,957","$52,623 "
8079,Mineral County (CO),764,65,"$55,906 "
8081,Moffat County (CO),"12,998","1,428","$57,680 "
8083,Montezuma County (CO),"25,883","3,944","$48,692 "
8085,Montrose County (CO),"41,303","5,312","$51,031 "
8087,Morgan County (CO),"27,537","3,127","$50,453 "
8089,Otero County (CO),"17,832","4,197","$37,907 "
8091,Ouray County (CO),"4,784",368,"$63,627 "
8093,Park County (CO),"17,775","1,526","$69,884 "
8095,Phillips County (CO),"4,226",460,"$52,096 "
8097,Pitkin County (CO),"17,830","1,048","$78,596 "
8099,Prowers County (CO),"11,712","2,128","$41,238 "
8101,Pueblo County (CO),"161,826","29,408","$44,060 "
8103,Rio Blanco County (CO),"6,110",579,"$58,336 "
8105,Rio Grande County (CO),"11,081","2,041","$41,693 "
8107,Routt County (CO),"24,941","1,709","$76,505 "
8109,Saguache County (CO),"6,590","1,608","$36,558 "
8111,San Juan County (CO),712,97,"$46,985 "
8113,San Miguel County (CO),"7,940",614,"$70,418 "
8115,Sedgwick County (CO),"2,312",358,"$39,880 "
8117,Summit County (CO),"30,435","2,209","$75,420 "
8119,Teller County (CO),"24,462","2,151","$68,078 "
8121,Washington County (CO),"4,742",613,"$48,325 "
8123,Weld County (CO),"298,645","28,171","$68,679 "
8125,Yuma County (CO),"9,843","1,276","$48,893 "
9000,Connecticut,"3,482,563","338,651","$74,428 "
9001,Fairfield County (CT),"931,762","82,428","$91,170 "
9003,Hartford County (CT),"871,720","96,200","$70,433 "
9005,Litchfield County (CT),"180,338","12,481","$77,968 "
9007,Middlesex County (CT),"159,150","10,796","$81,533 "
9009,New Haven County (CT),"833,593","91,639","$66,764 "
9011,New London County (CT),"257,895","22,246","$71,721 "
9013,Tolland County (CT),"136,223","10,043","$75,571 "
9015,Windham County (CT),"111,884","12,818","$62,606 "
