County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
0,United States,"278,944,452","31,581,086","$41,990 "
1000,Alabama,"4,371,402","637,119","$34,923 "
1001,Autauga County (AL),"44,570","4,681","$42,463 "
1003,Baldwin County (AL),"143,152","13,855","$41,283 "
1005,Barbour County (AL),"26,349","5,847","$26,612 "
1007,Bibb County (AL),"20,043","3,561","$31,776 "
1009,Blount County (AL),"51,745","6,193","$36,863 "
1011,Bullock County (AL),"9,966","2,850","$21,400 "
1013,Butler County (AL),"20,934","4,343","$25,763 "
1015,Calhoun County (AL),"109,317","16,561","$32,604 "
1017,Chambers County (AL),"36,031","5,558","$30,505 "
1019,Cherokee County (AL),"23,851","3,710","$31,436 "
1021,Chilton County (AL),"39,761","6,082","$33,650 "
1023,Choctaw County (AL),"15,584","2,931","$26,388 "
1025,Clarke County (AL),"27,475","5,247","$28,734 "
1027,Clay County (AL),"14,003","2,003","$28,940 "
1029,Cleburne County (AL),"14,202","2,050","$31,551 "
1031,Coffee County (AL),"42,829","6,177","$34,561 "
1033,Colbert County (AL),"54,580","7,128","$33,227 "
1035,Conecuh County (AL),"13,822","3,157","$23,683 "
1037,Coosa County (AL),"11,731","1,701","$29,926 "
1039,Covington County (AL),"36,719","6,463","$27,531 "
1041,Crenshaw County (AL),"13,585","2,590","$27,345 "
1043,Cullman County (AL),"76,949","9,880","$33,441 "
1045,Dale County (AL),"47,581","7,261","$32,824 "
1047,Dallas County (AL),"45,786","11,175","$24,944 "
1049,DeKalb County (AL),"65,180","9,641","$31,087 "
1051,Elmore County (AL),"61,922","7,493","$41,233 "
1053,Escambia County (AL),"36,474","6,798","$28,942 "
1055,Etowah County (AL),"101,627","15,796","$31,490 "
1057,Fayette County (AL),"18,103","2,815","$30,362 "
1059,Franklin County (AL),"30,857","5,205","$28,341 "
1061,Geneva County (AL),"25,264","4,651","$27,382 "
1063,Greene County (AL),"9,934","2,667","$21,163 "
1065,Hale County (AL),"16,922","3,667","$26,400 "
1067,Henry County (AL),"16,186","2,636","$31,049 "
1069,Houston County (AL),"88,525","13,246","$35,287 "
1071,Jackson County (AL),"53,699","7,158","$33,289 "
1073,Jefferson County (AL),"649,667","83,078","$37,094 "
1075,Lamar County (AL),"15,485","2,487","$29,396 "
1077,Lauderdale County (AL),"86,042","10,913","$34,032 "
1079,Lawrence County (AL),"34,676","4,845","$33,794 "
1081,Lee County (AL),"112,625","15,943","$32,678 "
1083,Limestone County (AL),"64,465","7,893","$38,984 "
1085,Lowndes County (AL),"13,438","3,268","$24,089 "
